"age.group","age.group.contact","contacts"
"[55,60)","[70,75)",0.0308892591250421
"[60,65)","[70,75)",0.0385681080390979
"[65,70)","[70,75)",0.111037462679845
"[70,75)","[70,75)",0.270621086458039
"[75,80)","[70,75)",0.151612446759005
"80+","[70,75)",0.0835105815247301
"[0,5)","[75,80)",0.00877152613468518
"[5,10)","[75,80)",0.0202502103686396
"[10,15)","[75,80)",0.00827864117710861
"[15,20)","[75,80)",0.00210752396442484
"[20,25)","[75,80)",0.00294692421359101
"[25,30)","[75,80)",0.00892157819251456
"[30,35)","[75,80)",0.0137493856018916
"[35,40)","[75,80)",0.0244119225136871
"[40,45)","[75,80)",0.0291465460245901
"[45,50)","[75,80)",0.0157631430488112
"[50,55)","[75,80)",0.018064419701538
"[55,60)","[75,80)",0.0165105408915936
"[60,65)","[75,80)",0.0158836636343848
"[65,70)","[75,80)",0.0503544446484798
"[70,75)","[75,80)",0.159961438358437
"[75,80)","[75,80)",0.263794709912292
"80+","[75,80)",0.0369178397143236
"[0,5)","80+",0.00167760511759016
"[5,10)","80+",0
"[10,15)","80+",0.0160165926648646
"[15,20)","80+",0.0247670063003246
"[20,25)","80+",0.00957921352451172
"[25,30)","80+",0.0336044230108602
"[30,35)","80+",0.0193654906652677
"[35,40)","80+",0.00759102320258648
"[40,45)","80+",0.0150561559247553
"[45,50)","80+",0.0395036549233798
"[50,55)","80+",0.0301907386253005
"[55,60)","80+",0.0187843343322191
"[60,65)","80+",0.0330216350078026
"[65,70)","80+",0.0285363114562408
"[70,75)","80+",0.129129727884145
"[75,80)","80+",0.0541053939783185
"80+","80+",0.116265097055995
